City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
409,tocopilla,-22.092,-70.1979,20.78,63,14,2.52,CL,1693063040
410,coquimbo,-29.9533,-71.3436,17.85,59,0,2.57,CL,1693063041
411,pacasmayo,-7.4006,-79.5714,21.77,75,82,4.45,PE,1693063042
412,silver city,32.7701,-108.2803,20.98,64,75,6.17,US,1693063042
413,filey,54.21,-0.2892,17.82,77,100,1.34,GB,1693063043
414,kish,26.5578,54.0194,35.15,66,15,4.12,IR,1693063044
415,piti village,13.4626,144.6933,27.49,89,40,8.23,GU,1693063044
416,ilhabela,-23.7781,-45.3581,17.65,94,100,4.52,BR,1693063045
417,inyonga,-6.7167,32.0667,32.26,19,56,2.29,TZ,1693063046
418,illizi,26.4833,8.4667,38.89,9,48,2.58,DZ,1693063047
419,strathmore,51.0501,-113.3852,19.37,63,0,3.09,CA,1693063047
420,villa la angostura,-40.7617,-71.6463,3.88,71,14,1.1,AR,1693063048
421,bulungu,-4.55,18.6,34.27,34,86,2.85,CD,1693063049
422,colonia,50.9333,6.95,24.36,49,0,2.57,DE,1693062601
423,tegueste,28.5167,-16.3167,29.64,48,0,6.17,ES,1693063050
424,tannum sands,-23.9504,151.3693,17.94,68,0,3.09,AU,1693063051
425,meraux,29.933,-89.9498,34.45,67,0,5.14,US,1693063052
426,howard springs,-12.497,131.047,21.95,79,91,1.83,AU,1693063052
427,richards bay,-28.783,32.0377,19.09,43,99,7.25,ZA,1693063053
428,dao,11.3937,122.6856,25.01,88,96,1.77,PH,1693063054
429,valparaiso,-33.0393,-71.6273,18.13,74,0,4.63,CL,1693063054
430,greenville,35.6127,-77.3663,30.64,76,40,1.34,US,1693062846
431,puerto baquerizo moreno,-0.9,-89.6,26.55,74,20,5.14,EC,1693063056
432,kapa'a,22.0752,-159.319,27.18,84,75,6.17,US,1693063056
433,villa gesell,-37.2639,-56.973,9.47,66,13,3.23,AR,1693063057
434,quatre cocos,-20.2078,57.7625,22.83,74,6,6.94,MU,1693063058
435,coaldale,49.7167,-112.6185,21.34,46,0,7.72,CA,1693063058
436,funafuti,-8.5243,179.1942,28.08,75,94,3.42,TV,1693063059
437,sao jose da coroa grande,-8.8978,-35.1478,26.99,72,60,3.98,BR,1693063060
438,mo i rana,66.3128,14.1428,20.26,58,100,4.12,NO,1693063061
439,maxixe,-23.8597,35.3472,26.58,61,8,7.0,MZ,1693063062
440,garissa,-0.4536,39.6401,31.31,36,40,8.92,KE,1693063018
441,hepingjie,42.0597,126.9158,12.84,98,29,0.77,CN,1693063063
442,anchorage,61.2181,-149.9003,17.97,79,75,8.75,US,1693062904
443,bamboo flat,11.7,92.7167,27.05,89,40,3.09,IN,1693063064
444,vilyuchinsk,52.9306,158.4028,13.15,84,84,2.97,RU,1693063065
445,juneau,58.3019,-134.4197,14.01,100,100,1.54,US,1693063066
446,haiku-pauwela,20.9219,-156.3051,24.47,70,40,5.66,US,1693063066
447,hilo,19.7297,-155.09,22.36,90,100,2.06,US,1693063067
448,laojunmiao,39.8333,97.7333,19.62,30,31,4.12,CN,1693063068
449,mawu,29.5923,107.3139,21.25,97,100,1.56,CN,1693063069
450,yuzhno-sakhalinsk,46.9581,142.7337,20.79,88,75,2.0,RU,1693063069
451,nurota,40.5614,65.6886,24.32,40,83,3.42,UZ,1693063070
452,hincesti,46.8258,28.5936,34.76,26,72,6.05,MD,1693063071
453,envira,-7.3,-70.2167,34.85,38,2,1.77,BR,1693063071
454,hami,42.8,93.45,29.6,18,3,2.67,CN,1693063072
455,prince george,53.9166,-122.753,14.12,69,0,1.78,CA,1693062714
456,carutapera,-1.195,-46.02,31.01,60,52,3.95,BR,1693063074
457,xai-xai,-25.0519,33.6442,21.63,70,100,10.3,MZ,1693063074
458,tamanrasset,22.785,5.5228,35.95,15,40,6.17,DZ,1693063075
459,praia da vitoria,38.7333,-27.0667,25.14,78,75,8.59,PT,1693063076
460,vung tau,10.346,107.0843,28.19,78,94,6.13,VN,1693062905
461,yamada,39.4667,141.95,24.37,94,100,3.46,JP,1693063077
462,tarauaca,-8.1614,-70.7656,35.22,36,2,2.22,BR,1693063078
463,papao,-17.75,-149.55,25.82,78,12,11.22,PF,1693063078
464,vrnograc,45.1636,15.9536,33.04,26,0,3.19,BA,1693063079
465,madingou,-4.1536,13.55,33.46,37,82,3.23,CG,1693063080
466,gignac,43.652,3.5509,27.87,44,84,2.91,FR,1693063080
467,daru,-9.0763,143.2092,24.31,82,100,7.23,PG,1693063081
468,villa de soto,-30.8552,-64.9995,14.11,36,31,6.31,AR,1693063082
469,lockport,41.5895,-88.0578,24.21,84,75,7.72,US,1693063083
470,ambon,-3.6954,128.1814,26.6,95,90,7.8,ID,1693063083
471,fisterra,42.9049,-9.2629,22.08,73,44,7.0,ES,1693063084
472,bismarck,46.8083,-100.7837,15.45,96,100,2.57,US,1693063085
473,puerto leguizamo,-0.1934,-74.7819,31.96,54,3,0.34,CO,1693063086
474,inarajan village,13.2736,144.7484,27.54,95,97,10.23,GU,1693063087
475,krasnovishersk,60.4078,57.082,8.3,97,96,1.78,RU,1693063087
476,buedu,8.2803,-10.3719,30.81,55,98,2.42,SL,1693063088
477,kuusamo,65.9667,29.1833,17.02,59,0,3.6,FI,1693063089
478,berezovyy,51.6667,135.7,11.32,90,100,1.24,RU,1693063090
479,basco,20.4487,121.9702,28.33,80,95,5.97,PH,1693063090
480,crowborough,51.0604,0.1617,19.58,64,87,6.18,GB,1693063092
481,annau,37.8876,58.516,22.72,83,75,2.06,TM,1693063093
482,butte,39.6499,-121.5677,21.12,64,0,0.0,US,1693063093
483,plettenberg bay,-34.0527,23.3716,12.86,65,88,7.3,ZA,1693063094
484,olyokminsk,60.3736,120.4264,12.82,64,90,0.85,RU,1693063095
485,gallup,35.5281,-108.7426,20.91,60,0,2.57,US,1693062932
486,egilsstadir,65.2653,-14.3948,18.95,59,0,3.09,IS,1693063096
487,la passe,45.5549,-0.8967,25.13,52,64,5.84,FR,1693063097
488,pekalongan,-6.8886,109.6753,25.86,78,90,1.31,ID,1693062910
489,ashburton,-37.8626,145.0794,11.33,74,93,0.89,AU,1693063099
490,sechura,-5.5569,-80.8222,23.34,64,53,4.91,PE,1693063099
491,badiyah,22.45,58.8,36.92,29,99,7.49,OM,1693063100
492,czluchow,53.6672,17.3588,23.78,66,86,5.34,PL,1693063101
493,auki,-8.7676,160.7034,23.68,95,100,2.23,SB,1693063102
494,san jose del cabo,23.0589,-109.6977,30.83,73,75,1.79,MX,1693063103
495,shreveport,32.5251,-93.7502,35.12,48,0,4.63,US,1693063104
496,baikonur,45.6167,63.3167,21.77,49,47,9.47,KZ,1693063105
497,sipovo,44.2814,17.0839,31.52,35,48,1.55,BA,1693063105
498,pisco,-13.7,-76.2167,20.03,77,100,1.54,PE,1693063106
499,arrifes,37.7667,-25.7,22.14,83,75,4.12,PT,1693063107
500,pangkalanbuun,-2.6833,111.6167,23.99,87,7,1.55,ID,1693063108
501,hartford city,40.4511,-85.37,25.17,89,34,4.14,US,1693063109
502,puerto lempira,15.2667,-83.7667,31.08,66,40,0.0,HN,1693063109
503,tandag,9.0783,126.1986,25.79,87,79,1.98,PH,1693063110
504,alvear,-29.0968,-56.5504,16.59,35,3,5.6,AR,1693063111
505,safi,32.1667,-8.8333,36.61,20,84,6.33,MA,1693063112
506,yakeshi,49.2833,120.7333,10.84,78,81,0.82,CN,1693063112
507,zykovo,55.9519,93.1461,11.41,90,61,0.42,RU,1693063113
508,mogadishu,2.0371,45.3438,25.59,80,33,7.5,SO,1693063114
509,tazovsky,67.4667,78.7,10.37,74,96,4.38,RU,1693063115
510,ambodifotatra,-16.9833,49.85,24.05,79,2,4.49,MG,1693063115
511,wenling,28.3669,121.36,26.29,85,95,0.81,CN,1693063116
512,fortuna,40.5982,-124.1573,14.64,96,100,0.0,US,1693063117
513,mooloolaba,-26.6833,153.1167,17.25,86,6,0.89,AU,1693063019
514,el alto,-4.2714,-81.2147,22.81,62,4,6.73,PE,1693063118
515,yulinshi,38.2906,109.7494,14.93,88,100,3.09,CN,1693063119
516,freeport,40.6576,-73.5832,28.5,77,0,4.12,US,1693063062
517,cerritos,33.8583,-118.0648,26.78,90,0,2.57,US,1693063046
518,al qusayr,34.5091,36.5798,30.15,50,0,6.35,SY,1693063121
519,quibala,-10.7337,14.98,31.43,21,98,4.83,AO,1693063122
520,fada,9.5667,8.3,26.77,74,91,2.06,NG,1693063122
521,lagunas,-5.2269,-75.6753,32.37,49,0,1.69,PE,1693063124
522,gorontalo,0.5412,123.0595,23.74,91,90,1.41,ID,1693063125
523,colares,38.7992,-9.4469,26.29,42,0,11.83,PT,1693063126
524,sanya,18.2431,109.505,29.09,84,0,1.0,CN,1693063126
525,bakchar,57.0186,82.0711,13.12,72,91,1.78,RU,1693063127
526,bandar lampung,-5.4254,105.258,23.58,91,53,1.93,ID,1693063128
527,keren,15.7778,38.4581,27.49,52,63,2.81,ER,1693063128
528,monrovia,6.3005,-10.7969,27.03,79,85,5.13,LR,1693062653
529,tejen,37.3834,60.5054,24.85,57,51,9.32,TM,1693063130
530,umba,66.6871,34.3429,13.31,66,100,3.02,RU,1693063130
531,guaruja,-23.9931,-46.2564,17.92,26,100,3.09,BR,1693063131
532,chichiriviche,10.9333,-68.2772,30.89,60,19,2.53,VE,1693063132
533,quesnel,52.9999,-122.5029,15.02,68,5,1.56,CA,1693063133
534,puerto colombia,10.9878,-74.9547,32.05,72,99,2.29,CO,1693063133
535,pahrump,36.2083,-115.9839,27.95,23,0,1.73,US,1693063134
536,xinyuan,37.3,99.0,2.95,96,82,1.58,CN,1693063135
537,santa maria,-29.6842,-53.8069,14.11,42,5,2.86,BR,1693062725
538,poronaysk,49.2167,143.1167,13.65,93,100,1.54,RU,1693063022
539,maitum,6.0392,124.4986,25.48,84,5,1.97,PH,1693063137
540,saudarkrokur,65.7461,-19.6394,14.37,92,100,6.23,IS,1693063138
541,poso,-1.3959,120.7524,27.97,67,47,2.5,ID,1693062970
542,ghanzi,-21.5667,21.7833,24.72,9,8,5.97,BW,1693063139
543,la carlota,10.4233,122.9208,25.51,91,100,3.65,PH,1693063140
544,karratha,-20.7377,116.8463,21.94,64,0,1.71,AU,1693063140
